Server-Crownlabs-performance,Server-Crownlabs-consumption,Server-Crownlabs-consumption (correction),Server-Polycube-performance,Server-Polycube-consumption,Raspberry-performance,Raspberry-consumption,Desktop-performance,Desktop-consumption,Matebook-performance,Matebook-consumption,Laptop-Fulvio-performance,Laptop-Fulvio-consumption
nan,nan,nan,nan,nan,33948.5447839326,209.08,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,34152.8019601157,209.79,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,34405.5899028588,213.44,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,34645.1357605378,214.05,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,34871.5934855574,214.75,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,35075.8506617405,215.46,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,35328.6386044835,219.11,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,35568.1844621625,219.72,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,35794.6421871821,220.42,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,35998.8993633652,221.13,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,36251.6873061083,224.78,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,36491.2331637873,225.39,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,36717.6908888069,226.09,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,36921.94806499,226.8,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,37174.736007733,230.45,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,37414.281865412,231.06,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,37640.7395904316,231.76,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,37844.9967666148,232.47,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,38097.7847093578,236.12,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,38337.3305670368,236.73,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,38563.7882920564,237.43,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,38768.0454682395,238.14,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,39020.8334109825,241.79,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,39260.3792686615,242.4,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,39486.8369936811,243.1,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,39691.0941698642,243.81,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,39943.8821126073,247.46,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,40183.4279702863,248.07,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,40409.8856953059,248.77,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,40614.142871489,249.48,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,40866.930814232,253.13,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,41106.476671911,253.74,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,41332.9343969306,254.44,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,41537.1915731138,255.15,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,41789.9795158568,258.8,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,42029.5253735358,259.41,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,42255.9830985554,260.11,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,42460.2402747385,260.82,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,42713.0282174815,264.47,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,42952.5740751605,265.08,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,43179.0318001801,265.78,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,43383.2889763633,266.49,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,43636.0769191063,270.14,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,43875.6227767853,270.75,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,44102.0805018049,271.45,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,44306.337677988,272.16,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,44559.125620731,275.81,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,44798.67147841,276.42,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,45025.1292034296,277.12,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,45229.3863796128,277.83,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,45482.1743223558,281.48,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,45721.7201800348,282.09,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,45948.1779050544,282.79,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,46152.4350812375,283.5,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,46405.2230239805,287.15,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,46644.7688816595,287.76,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,46871.2266066791,288.46,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,47075.4837828622,289.17,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,47328.2717256053,292.82,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,47567.8175832843,293.43,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,47794.2753083039,294.13,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,47998.532484487,294.84,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,48251.32042723,298.49,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,48490.866284909,299.1,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,48717.3240099286,299.8,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,48921.5811861117,300.51,nan,nan,nan,nan,nan,nan
